[2026-05-29 22:29:05] ============================================================
[2026-05-29 22:29:05] Phase 2: 차트 생성 시작 (배치 9999개/회)
[2026-05-29 22:29:05] 차트 미생성 3,972개 | 오늘 처리 3972개
[2026-05-29 22:37:48]   [231/3972] ✅ 033260
[2026-05-29 22:37:50]   [232/3972] ✅ 018890
[2026-05-29 22:37:51]   [233/3972] ✅ 041800
[2026-05-29 22:37:53]   [234/3972] ✅ 052640
[2026-05-29 22:37:56]   [235/3972] ✅ 080410
[2026-05-29 22:37:57]   [236/3972] ✅ 041450
[2026-05-29 22:38:00]   [237/3972] ✅ 098150
[2026-05-29 22:38:02]   [238/3972] ✅ 039350
[2026-05-29 22:38:05]   [239/3972] ✅ 006210
[2026-05-29 22:38:06]   [240/3972] ✅ 057100
[2026-05-29 22:38:10]   [241/3972] ✅ 108070
[2026-05-29 22:38:11]   [242/3972] ✅ 037150
[2026-05-29 22:38:12]   [243/3972] ✅ 056200
[2026-05-29 22:38:15]   [244/3972] ✅ 045710
[2026-05-29 22:38:16]   [245/3972] ✅ 039040
[2026-05-29 22:38:18]   [246/3972] ✅ 019430
[2026-05-29 22:38:19]   [247/3972] ✅ 037550
[2026-05-29 22:38:21]   [248/3972] ✅ 052810
[2026-05-29 22:38:22]   [249/3972] ✅ 056010
[2026-05-29 22:38:25]   [250/3972] ✅ 088010
[2026-05-29 22:38:27]   ✅ push 완료
[2026-05-29 22:38:29]   [251/3972] ✅ 036550
[2026-05-29 22:38:30]   [252/3972] ✅ 007830
[2026-05-29 22:38:32]   [253/3972] ✅ 068630
[2026-05-29 22:38:34]   [254/3972] ✅ 053470
[2026-05-29 22:38:35]   [255/3972] ✅ 047710
[2026-05-29 22:38:36]   [256/3972] ✅ 038920
[2026-05-29 22:38:40]   [257/3972] ✅ 027840
[2026-05-29 22:38:41]   [258/3972] ✅ 036850
[2026-05-29 22:38:42]   [259/3972] ✅ 014420
[2026-05-29 22:38:46]   [260/3972] ✅ 069470
[2026-05-29 22:38:49]   [261/3972] ✅ 000610
[2026-05-29 22:38:52]   [262/3972] ✅ 083120
[2026-05-29 22:38:53]   [263/3972] ✅ 051530
[2026-05-29 22:38:55]   [264/3972] ✅ 066850
[2026-05-29 22:38:58]   [265/3972] ✅ 004820
[2026-05-29 22:39:00]   [266/3972] ✅ 048140
[2026-05-29 22:39:01]   [267/3972] ✅ 004790
[2026-05-29 22:39:04]   [268/3972] ✅ 093400
[2026-05-29 22:39:06]   [269/3972] ✅ 048460
[2026-05-29 22:39:07]   [270/3972] ✅ 025920
[2026-05-29 22:39:11]   [271/3972] ✅ 081220
[2026-05-29 22:39:14]   [272/3972] ✅ 000470
[2026-05-29 22:39:16]   [273/3972] ✅ 040180
[2026-05-29 22:39:17]   [274/3972] ✅ 046720
[2026-05-29 22:39:20]   [275/3972] ✅ 073930
[2026-05-29 22:39:21]   [276/3972] ✅ 015050
[2026-05-29 22:39:23]   [277/3972] ✅ 036210
[2026-05-29 22:39:26]   [278/3972] ✅ 012090
[2026-05-29 22:39:30]   [279/3972] ✅ 004550
[2026-05-29 22:39:33]   [280/3972] ✅ 018410
[2026-05-29 22:39:34]   [281/3972] ✅ 034010
[2026-05-29 22:39:37]   [282/3972] ✅ 126680
[2026-05-29 22:39:39]   [283/3972] ✅ 037540
[2026-05-29 22:39:42]   [284/3972] ✅ 080980
[2026-05-29 22:39:45]   [285/3972] ✅ 101990
[2026-05-29 22:39:48]   [286/3972] ✅ 122750
[2026-05-29 22:39:50]   [287/3972] ✅ 054150
[2026-05-29 22:39:51]   [288/3972] ✅ 041630
[2026-05-29 22:39:53]   [289/3972] ✅ 036920
[2026-05-29 22:39:56]   [290/3972] ✅ 090540
[2026-05-29 22:39:59]   [291/3972] ✅ 003640
[2026-05-29 22:40:02]   [292/3972] ✅ 001670
[2026-05-29 22:40:05]   [293/3972] ✅ 121910
[2026-05-29 22:40:07]   [294/3972] ✅ 033850
[2026-05-29 22:40:10]   [295/3972] ✅ 123290
[2026-05-29 22:40:11]   [296/3972] ✅ 066060
[2026-05-29 22:40:14]   [297/3972] ✅ 071660
[2026-05-29 22:40:17]   [298/3972] ✅ 089480
[2026-05-29 22:40:19]   [299/3972] ✅ 036610
[2026-05-29 22:40:22]   [300/3972] ✅ 081190
[2026-05-29 22:40:24]   ✅ push 완료
[2026-05-29 22:40:25]   [301/3972] ✅ 034510
[2026-05-29 22:40:28]   [302/3972] ✅ 128910
[2026-05-29 22:40:30]   [303/3972] ✅ 053040
[2026-05-29 22:40:32]   [304/3972] ✅ 123300
[2026-05-29 22:40:34]   [305/3972] ✅ 049000
[2026-05-29 22:40:35]   [306/3972] ✅ 032420
[2026-05-29 22:40:38]   [307/3972] ✅ 008540
[2026-05-29 22:40:41]   [308/3972] ✅ 900030
